ID,DATE1,Fire Year,Location,Landscape,Soil,Rainfall (mm),SEASON,REPLICATE,FREQUENCY,PLOT_NO,FMCDRYW ,FUEL LOAD (kg/ha) ,AIRTEMP,RH (%),WIND (m/s),PLOTROS,MEDIAN FUELLOAD (kg/m2),Heat Yeild,PLOTFI MEDIAN FL,% OF PLOT BURNT,TYPE OF BURN,SUCCESS OF FIRE
2135,2/6/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,MARHEYA,2,4,70.40,4511,40.1,36.1,2.0,0.19,0.4511,16890,1448,65,dirty,successful
2499,2/13/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,NUMBI,2,3,85.60,5130,34.1,44.2,0.9,0.14,0.5130,16890,1198,75,dirty,successful
2692,2/13/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,SHABENI,2,4,120.30,5587,35.1,40.1,0.9,0.14,0.5587,16890,1304,80,moderate,successful
2875,2/13/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,KAMBENI,2,4,84.00,8460,36.4,41.0,0.9,0.14,0.8460,16890,1975,90,moderate,successful
3069,2/13/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,FAYI,2,6,91.70,5035,35.1,43.4,0.9,0.14,0.5035,16890,1175,90,dirty,successful
151,5/6/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,N'SHAWU,2,5,19.00,1932,30.1,24.0,1.7,0.14,0.1932,16890,464,25,dirty,unsuccessful
44,5/7/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,DZOMBO,2,2,24.80,2329,22.4,78.9,0.4,0.87,0.2329,16890,3415,100,clean,highly
123,5/7/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Apr,MOOIPLAAS,2,6,40.60,1613,25.8,65.5,1.0,0.48,0.1613,16890,1308,50,dirty,unsuccessful
511,5/25/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,NWASWITSHAKA,2,5,26.00,3983,25.5,34.7,1.4,0.99,0.3983,16890,6639,100,clean,highly
633,5/28/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,MBIYAMITI,2,6,19.67,2281,22.9,42.7,1.9,0.46,0.2281,16890,1772,65,dirty,successful
757,5/28/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,NAPI,2,2,20.00,2631,26.4,37.0,1.9,0.31,0.2631,16890,1366,60,moderate,successful
860,5/28/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,NAPI,3,9,20.00,4001,24.9,40.7,2.5,0.69,0.4001,16890,4665,100,clean,highly
956,5/28/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,SKUKUZA,2,5,30.20,1557,22.4,46.9,2.3,0.46,0.1557,16890,1210,55,dirty,successful
1039,5/28/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,SKUKUZA,3,11,19.00,2874,21.5,47.4,2.3,0.43,0.2874,16890,2074,90,moderate,successful
409,5/29/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,NWASWITSHAKA,3,12,24.00,3333,24.0,38.8,1.4,0.39,0.3333,16890,2205,100,clean,highly
728,5/29/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,MBIYAMITI,3,12,36.00,2184,19.4,52.3,1.8,0.12,0.2184,16890,447,50,dirty,moderately
2935,5/29/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,FAYI,2,5,22.00,3723,25.8,28.8,0.8,0.37,0.3723,16890,2338,100,clean,highly
2958,5/29/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,FAYI,3,12,48.00,4442,24.6,32.0,0.9,0.12,0.4442,16890,868,40,clean,highly
2756,5/30/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,KAMBENI,2,6,22.00,5734,19.4,54.3,1.6,0.15,0.5734,16890,1471,100,clean,highly
2767,5/30/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,KAMBENI,3,12,16.00,4374,26.2,30.9,1.6,0.19,0.4374,16890,1438,100,clean,highly
1645,6/4/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,NWANETSI,2,6,23.00,5035,30.1,27.8,1.4,0.42,0.5035,16890,3561,100,clean,successful
1827,6/4/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,LINDANDA,2,5,55.30,3191,26.7,32.9,1.4,0.41,0.3191,16890,2210,100,dirty,successful
1669,6/5/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,NWANETSI,3,12,36.00,4442,12.2,68.8,1.7,0.50,0.4442,16890,3782,100,clean,successful
2013,6/5/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,MARHEYA,2,2,20.00,4711,24.0,46.6,1.9,0.38,0.4711,16890,2985,75,dirty,successful
2029,6/5/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,MARHEYA,3,9,22.00,3211,20.8,56.8,1.4,0.10,0.3211,16890,563,60,dirty,successful
2195,6/5/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,SATARA,2,5,28.00,4578,26.2,31.1,2.3,0.31,0.4578,16890,2403,95,clean,highly
2200,6/5/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,SATARA,3,12,28.00,2471,28.7,32.6,2.4,0.15,0.2471,16890,631,50,dirty,moderately
2383,6/12/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,NUMBI,2,5,37.00,4645,22.8,44.0,1.1,0.39,0.4645,16890,3036,100,clean,highly
2386,6/12/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,NUMBI,3,11,34.00,4056,22.8,44.0,1.1,0.17,0.4056,16890,1184,100,clean,highly
2571,6/12/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,SHABENI,2,2,56.60,5437,22.8,44.0,1.5,0.22,0.5437,16890,2020,95,moderate,successful
2580,6/12/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,SHABENI,3,9,48.00,5407,22.8,44.0,1.5,0.22,0.5407,16890,2027,100,clean,highly
2096,8/27/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,MARHEYA,3,10,22.00,3087,25.1,45.7,3.8,0.26,0.3087,16890,1340,85,moderate,successful
2222,8/27/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,SATARA,1,7,21.00,1881,29.4,34.5,3.3,0.34,0.1881,16890,1089,60,dirty,successful
2276,8/27/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,SATARA,3,9,19.00,2960,31.9,31.8,3.1,0.10,0.2960,16890,506,40,moderate,successful
1689,8/28/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,NWANETSI,1,7,25.00,2135,24.4,46.8,3.2,0.46,0.2135,16890,1645,85,moderate,successful
1733,8/28/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,NWANETSI,3,11,27.00,4234,20.8,56.6,1.5,0.38,0.4234,16890,2750,100,clean,highly
177,8/29/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Aug,TSENDE,2,1,20.00,2654,33.3,23.7,2.4,0.17,0.2654,16890,752,60,moderate,successful
652,9/17/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,1,7,18.00,1269,29.6,36.4,2.0,0.20,0.1269,16890,429,75,moderate,successful
716,9/17/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,3,11,12.00,1722,30.8,35.4,2.0,0.21,0.1722,16890,597,50,dirty,moderately
777,9/17/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,1,3,18.00,1387,29.6,36.9,1.9,0.32,0.1387,16890,751,40,clean,highly
871,9/17/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,3,10,14.00,2608,26.9,41.7,1.6,0.66,0.2608,16890,2924,100,clean,highly
1050,9/17/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,SKUKUZA,3,12,14.90,1984,23.2,47.0,1.6,0.60,0.1984,16890,2011,100,clean,successful
2604,9/18/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,1,3,11.80,1984,32.1,40.6,1.1,0.30,0.1984,16890,1005,95,clean,successful
2784,9/18/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,1,7,16.00,3333,28.5,46.6,2.8,0.36,0.3333,16890,2004,100,clean,highly
2842,9/18/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,3,11,15.00,3211,23.3,60.4,1.1,0.40,0.3211,16890,2184,100,clean,highly
3030,9/18/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,FAYI,3,9,44.00,5437,17.7,81.0,1.0,0.34,0.5437,16890,3095,100,clean,highly
2423,9/19/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,1,6,10.40,2085,28.7,25.4,2.3,0.30,0.2085,16890,1056,100,clean,highly
2464,9/19/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,3,12,11.00,4304,31.0,24.6,2.3,0.33,0.4304,16890,2424,100,clean,highly
2645,9/19/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,3,10,13.00,4612,25.7,30.4,1.1,0.35,0.4612,16890,2740,100,clean,highly
440,9/20/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,3,9,20.10,2135,21.1,66.0,2.7,0.54,0.2135,16890,1947,60,dirty,successful
468,9/20/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,1,7,16.00,2135,24.6,53.3,2.7,0.55,0.2135,16890,1966,100,clean,highly
1019,11/19/91,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,SKUKUZA,3,9,15.00,2377,35.8,25.0,2.6,0.27,0.2377,16890,1066,75,moderate,successful
2549,11/20/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,NUMBI,3,9,15.00,2085,29.0,50.1,2.1,0.64,0.2085,16890,2265,95,clean,successful
2735,11/20/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,SHABENI,3,11,10.00,5223,29.0,52.0,1.8,0.34,0.5223,16890,2986,100,clean,highly
2925,11/20/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,KAMBENI,3,9,16.00,5907,28.0,38.5,1.3,0.39,0.5907,16890,3844,100,clean,highly
3120,11/20/91,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,FAYI,3,10,37.00,4678,26.0,38.1,0.7,0.94,0.4678,16890,7441,100,clean,highly
1805,11/25/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,NWANETSI,3,9,124.00,3333,34.0,31.7,2.2,0.32,0.3333,16890,1779,100,clean,highly
1820,11/25/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,NWANETSI,6,14,43.00,3647,34.0,32.8,2.0,0.24,0.3647,16890,1496,80,moderate,successful
2172,11/25/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,MARHEYA,3,11,39.50,3003,37.4,25.2,2.0,0.17,0.3003,16890,862,70,dirty,successful
2177,11/25/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,MARHEYA,6,14,40.00,3003,36.7,24.5,1.7,0.17,0.3003,16890,861,50,dirty,moderately
2345,11/25/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,SATARA,3,10,46.00,2400,36.1,28.8,1.9,0.20,0.2400,16890,794,20,dirty,unsuccessful
2356,11/25/91,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,SATARA,6,14,24.00,2184,36.1,28.8,1.9,0.20,0.2184,16890,738,60,dirty,successful
15,11/26/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Oct,DZOMBO,2,5,28.00,1209,32.6,41.1,2.1,0.21,0.1209,16890,430,50,dirty,moderately
25,11/26/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Oct,DZOMBO,6,14,16.93,2377,33.5,40.4,1.8,0.10,0.2377,16890,414,65,dirty,successful
182,11/26/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Oct,TSENDE,2,4,32.00,2060,28.5,53.5,3.0,0.20,0.2060,16890,696,60,dirty,successful
112,11/27/91,1991,Mopani,Colophospermum mopane shrubveld,Basalt,496,Oct,MOOIPLAAS,6,14,39.77,1269,25.1,67.1,0.2,0.10,0.1269,16890,214,25,dirty,unsuccessful
453,1/13/92,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Dec,NWASWITSHAKA,3,8,44.00,1667,30.1,30.1,0.9,0.30,0.1667,16890,845,70,dirty,successful
848,1/13/92,1991,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Dec,NAPI,3,8,44.00,2085,34.0,37.1,0.9,0.17,0.2085,16890,616,30,moderate,successful
2868,1/13/92,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Dec,KAMBENI,3,10,114.00,4374,35.3,37.1,0.7,0.16,0.4374,16890,1214,85,moderate,successful
3055,1/13/92,1991,Pretoriuskop,Lowveld sour bushveld,Granite,737,Dec,FAYI,3,8,80.00,3170,36.9,31.4,0.4,0.16,0.3170,16890,851,75,dirty,successful
1755,1/15/92,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,NWANETSI,3,10,46.00,4971,32.4,56.8,3.1,0.30,0.4971,16890,2536,100,clean,highly
1935,1/15/92,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,LINDANDA,3,8,33.00,3129,30.8,61.9,2.3,0.16,0.3129,16890,866,60,dirty,successful
2118,1/15/92,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,MARHEYA,3,8,29.00,2233,35.4,42.2,1.6,0.27,0.2233,16890,1003,65,moderate,successful
2302,1/15/92,1991,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,SATARA,3,8,24.00,3910,34.4,49.8,2.5,0.50,0.3910,16890,3281,100,moderately clean,highly
2450,8/13/92,1992,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,2,4,16.00,1722,21.5,28.8,1.7,0.38,0.1722,16890,1114,75,moderate,successful
2630,8/14/92,1992,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,2,1,16.00,1775,29.2,14.4,2.0,0.26,0.1775,16890,775,60,moderate,successful
3105,9/10/92,1992,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,FAYI,2,4,16.00,1387,31.2,35.4,1.9,0.41,0.1387,16890,964,95,moderate,successful
2905,9/11/92,1992,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,KAMBENI,2,3,18.00,5130,36.6,41.3,2.5,0.58,0.5130,16890,4997,100,clean,highly
2708,9/15/92,1992,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,SHABENI,2,5,14.67,3453,36.1,29.6,2.5,0.57,0.3453,16890,3324,100,clean,highly
2422,9/3/93,1993,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,1,6,29.00,2471,32.8,27.5,1.2,0.19,0.2471,16890,782,50,clean,highly
2597,9/3/93,1993,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,1,3,25.00,2676,26.2,40.9,1.3,0.52,0.2676,16890,2344,95,clean,successful
2795,9/3/93,1993,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,1,7,45.31,2184,26.7,47.1,1.1,0.22,0.2184,16890,812,90,moderate,successful
2966,9/3/93,1993,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,FAYI,1,7,45.00,1775,20.0,59.3,1.1,0.22,0.1775,16890,659,50,dirty,moderately
469,8/9/94,1994,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,1,7,25.00,2676,21.9,42.0,2.9,0.44,0.2676,16890,1987,100,clean,highly
651,8/9/94,1994,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,1,7,14.00,1722,23.0,48.0,3.1,0.19,0.1722,16890,559,60,dirty,successful
439,8/10/94,1994,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,3,9,21.00,1328,30.5,30.0,3.3,0.26,0.1328,16890,590,40,dirty,moderately
739,8/10/94,1994,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,2,1,18.00,2085,20.0,58.0,1.6,0.46,0.2085,16890,1616,100,clean,successful
775,8/10/94,1994,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,1,3,18.00,1881,21.0,56.0,1.2,0.23,0.1881,16890,744,30,moderate,successful
870,8/10/94,1994,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,3,10,19.00,895,26.0,40.0,2.4,0.20,0.0895,16890,308,20,moderate,successful
2821,8/11/94,1994,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,2,5,16.00,2377,19.5,48.0,1.2,0.23,0.2377,16890,906,90,moderate,highly
2843,8/11/94,1994,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,3,11,21.01,2698,20.0,46.0,1.3,0.31,0.2698,16890,1413,55,dirty,successful
3020,8/11/94,1994,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,FAYI,2,1,12.68,2329,19.0,52.0,1.3,0.36,0.2329,16890,1416,75,moderate,successful
3031,8/11/94,1994,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,FAYI,3,9,17.00,1775,19.0,52.0,1.3,0.36,0.1775,16890,1094,95,clean,highly
2443,8/12/94,1994,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,2,4,11.00,3252,27.0,38.0,1.5,0.19,0.3252,16890,1049,100,clean,highly
2465,8/12/94,1994,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,3,12,11.00,3947,25.0,38.0,2.1,0.15,0.3947,16890,988,50,clean,highly
650,5/5/95,1995,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,1,7,22.00,2698,26.2,20.2,2.7,0.31,0.2698,16890,1416,100,clean,highly
465,9/6/95,1995,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,1,7,28.00,2424,22.6,39.2,1.6,0.11,0.2424,16890,454,20,clean,successful
774,9/6/95,1995,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,1,3,41.00,2960,20.6,52.8,1.0,0.17,0.2960,16890,828,30,dirty,successful
2420,9/6/95,1995,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,1,6,21.00,4374,26.2,25.8,1.6,0.42,0.4374,16890,3115,100,clean,highly
2601,9/6/95,1995,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,1,3,22.76,2918,25.1,27.4,1.6,0.28,0.2918,16890,1380,100,clean,highly
2793,9/6/95,1995,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,1,7,13.00,2874,26.6,31.7,2.4,0.09,0.2874,16890,435,30,clean,highly
738,8/13/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,2,1,47.01,2918,33.5,28.0,2.8,0.17,0.2918,16890,821,30,clean,successful
773,8/13/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NAPI,1,3,44.00,1881,33.5,28.0,2.8,0.27,0.1881,16890,861,40,moderate,successful
940,8/13/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,SKUKUZA,2,4,34.00,4578,33.5,28.0,2.8,0.66,0.4578,16890,5070,100,clean,highly
649,8/14/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,1,7,47.26,3252,24.2,51.3,3.1,0.29,0.3252,16890,1565,90,moderate,successful
972,8/14/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,SKUKUZA,1,6,37.00,2870,23.3,57.1,3.1,0.28,0.2870,16890,1376,70,moderate,successful
466,8/15/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,1,7,55.00,2831,19.9,46.7,2.4,0.41,0.2831,16890,1961,75,dirty,successful
614,8/15/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,MBIYAMITI,2,5,45.00,3799,18.5,52.4,2.7,0.34,0.3799,16890,2164,100,clean,highly
1630,8/16/96,1996,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Aug,NWASWITSHAKA,2,1,45.00,2471,22.6,40.9,1.6,0.58,0.2471,16890,2409,90,moderately clean,successful
2051,8/26/96,1996,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,MARHEYA,1,3,42.57,3231,33.5,20.0,5.2,0.15,0.3231,16890,809,75,dirty,successful
2083,8/26/96,1996,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,MARHEYA,2,1,69.87,3817,33.5,20.0,4.0,0.31,0.3817,16890,1982,60,dirty,successful
2223,8/26/96,1996,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,SATARA,1,7,72.00,2281,33.5,20.0,5.2,0.33,0.2281,16890,1284,50,dirty,successful
2264,8/26/96,1996,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,SATARA,2,1,43.00,2135,33.5,20.0,4.0,0.15,0.2135,16890,551,55,dirty,successful
1688,8/27/96,1996,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,NWANETSI,1,7,77.00,2698,36.9,42.0,3.9,0.13,0.2698,16890,607,60,dirty,successful
1718,8/27/96,1996,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,NWANETSI,2,5,51.73,6021,36.9,42.0,2.8,0.13,0.6021,16890,1322,100,clean,highly
1885,8/27/96,1996,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,LINDANDA,1,6,33.81,3761,36.9,42.0,3.9,0.13,0.3761,16890,826,60,dirty,successful
157,8/29/96,1996,Mopani,Colophospermum mopane shrubveld,Basalt,496,Aug,N'SHAWU,3,12,50.00,4374,24.0,36.0,2.0,0.12,0.4374,16890,882,20,dirty,unsuccessful
207,8/29/96,1996,Mopani,Colophospermum mopane shrubveld,Basalt,496,Aug,TSENDE,3,9,35.00,3293,24.0,36.0,3.5,0.40,0.3293,16890,2206,100,clean,highly
2444,9/5/96,1996,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,2,4,33.28,3983,32.0,37.1,1.1,0.23,0.3983,16890,1547,100,clean,highly
2600,9/5/96,1996,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,1,3,34.00,3373,26.9,50.4,1.2,0.27,0.3373,16890,1558,100,clean,highly
2633,9/5/96,1996,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,2,1,49.00,3453,26.7,49.7,2.3,0.31,0.3453,16890,1810,100,clean,highly
2785,9/5/96,1996,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,1,7,75.00,4092,19.2,75.2,1.0,0.21,0.4092,16890,1484,95,moderate,successful
2822,9/5/96,1996,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,2,5,35.00,5130,26.7,53.5,1.1,0.16,0.5130,16890,1418,100,moderate,successful
2419,9/6/96,1996,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,1,6,39.00,3373,29.7,35.8,0.8,0.40,0.3373,16890,2254,100,clean,highly
3015,9/6/96,1996,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,FAYI,2,1,62.00,2874,36.4,30.3,1.0,0.17,0.2874,16890,815,90,moderately clean,successful
500,2/26/97,1997,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Feb,NWASWITSHAKA,2,6,141.74,3609,31.7,51.7,2.0,0.18,0.3609,16890,1093,100,moderately clean,successful
9,3/5/97,1997,Mopani,Colophospermum mopane shrubveld,Basalt,496,Feb,DZOMBO,2,4,32.84,3570,34.0,46.0,2.4,0.30,0.3570,16890,1809,85,moderately dirty,successfull
190,3/5/97,1997,Mopani,Colophospermum mopane shrubveld,Basalt,496,Feb,TSENDE,2,6,59.00,3045,35.5,42.5,2.1,0.31,0.3045,16890,1570,85,moderate,successful
97,3/6/97,1997,Mopani,Colophospermum mopane shrubveld,Basalt,496,Feb,MOOIPLAAS,2,4,29.00,4231,35.0,45.0,1.8,0.44,0.4231,16890,3118,100,clean,highly
135,3/6/97,1997,Mopani,Colophospermum mopane shrubveld,Basalt,496,Feb,N'SHAWU,2,3,57.00,4056,27.0,70.0,2.0,0.30,0.4056,16890,2065,100,clean,highly
1770,3/6/97,1997,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,NWANETSI,2,4,90.00,7533,34.0,51.0,2.8,0.09,0.7533,16890,1133,100,moderately clean,successful
1951,3/11/97,1997,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,LINDANDA,2,3,82.00,3723,38.0,54.0,1.0,0.19,0.3723,16890,1214,70,dirty,successful
2136,3/11/97,1997,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,MARHEYA,2,4,114.00,5587,35.0,40.0,3.1,0.13,0.5587,16890,1207,30,dirty,unsuccessful
2311,3/11/97,1997,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,SATARA,2,6,135.00,4199,38.0,28.0,1.2,0.21,0.4199,16890,1490,30,dirty,unsuccessful
1824,5/14/97,1997,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,LINDANDA,2,5,73.04,5734,24.0,53.0,1.1,0.29,0.5734,16890,2809,60,dirty,successful
1842,5/14/97,1997,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,LINDANDA,3,11,96.24,5285,21.0,53.0,1.1,0.29,0.5285,16890,2589,70,moderate,successful
2012,5/14/97,1997,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Apr,MARHEYA,2,2,43.00,4056,28.0,39.0,2.3,0.26,0.4056,16890,1799,90,clean,successful
