ID,DATE1,Fire Year,Location,Landscape,Soil,Rainfall (mm),SEASON,REPLICATE,FREQUENCY,PLOT_NO,FMCDRYW ,FUEL LOAD (kg/ha) ,AIRTEMP,RH (%),WIND (m/s),PLOTROS,MEDIAN FUELLOAD (kg/m2),Heat Yeild,PLOTFI MEDIAN FL,% OF PLOT BURNT,TYPE OF BURN,SUCCESS OF FIRE
2840,9/8/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,KAMBENI,3,11,18.00,5497,21.7,34.0,2.1,0.53,0.5497,16890,4908,100,clean,highly
2866,9/8/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Dec,KAMBENI,3,10,22.00,5467,21.1,37.0,1.8,0.41,0.5467,16890,3786,100,clean,highly
2430,9/9/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,1,6,32.00,3045,24.4,35.0,2.3,0.64,0.3045,16890,3279,100,clean,highly
2456,9/9/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,2,4,18.00,4511,23.3,37.0,1.4,0.57,0.4511,16890,4343,100,clean,highly
2461,9/9/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,NUMBI,3,12,19.00,5763,24.4,32.0,2.7,0.90,0.5763,16890,8733,100,clean,highly
2642,9/9/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,2,1,16.00,3453,20.0,47.0,2.1,0.72,0.3453,16890,4228,100,clean,highly
2648,9/9/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Aug,SHABENI,3,10,19.77,4128,23.3,40.0,2.1,0.72,0.4128,16890,5054,100,clean,highly
2079,9/13/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,MARHEYA,2,1,19.00,4020,30.0,37.0,3.0,1.29,0.4020,16890,8748,100,clean,highly
2089,9/13/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Aug,MARHEYA,3,10,8.00,3293,31.4,29.0,2.1,0.86,0.3293,16890,4798,100,clean,highly
41,9/14/82,1982,Mopani,Colophospermum mopane shrubveld,Basalt,496,Aug,DZOMBO,1,3,20.74,1932,29.4,38.0,3.2,0.35,0.1932,16890,1142,20,dirty,unsuccessful
174,9/14/82,1982,Mopani,Colophospermum mopane shrubveld,Basalt,496,Aug,N'SHAWU,1,6,15.00,2424,31.1,28.0,3.0,0.33,0.2424,16890,1344,80,moderate,successful
205,9/14/82,1982,Mopani,Colophospermum mopane shrubveld,Basalt,496,Aug,TSENDE,1,7,14.00,3293,32.2,25.0,3.2,0.40,0.3293,16890,2205,50,dirty,successful
3093,10/8/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,FAYI,2,4,18.00,2918,28.9,44.0,1.6,0.79,0.2918,16890,3880,100,clean,highly
2923,11/8/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,KAMBENI,3,9,15.00,4269,35.6,24.0,2.2,0.67,0.4269,16890,4804,100,clean,highly
3118,11/8/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,FAYI,3,10,15.00,2831,31.1,38.0,2.6,0.55,0.2831,16890,2651,100,clean,highly
2525,11/10/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,NUMBI,2,1,19.00,3873,20.0,67.0,0.6,0.46,0.3873,16890,3034,100,clean,highly
2547,11/10/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,NUMBI,3,9,19.00,4092,21.1,63.0,1.2,0.50,0.4092,16890,3470,100,clean,highly
2719,11/10/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,SHABENI,2,5,23.00,3685,20.6,63.0,1.5,0.73,0.3685,16890,4561,100,clean,highly
2738,11/10/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,SHABENI,3,11,14.00,5346,20.8,62.0,1.6,0.42,0.5346,16890,3792,100,clean,highly
2895,11/10/82,1982,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,KAMBENI,2,3,31.00,5407,20.0,63.0,1.8,0.65,0.5407,16890,5929,100,clean,highly
562,11/12/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,NWASWITSHAKA,2,4,9.00,1722,23.3,55.0,3.5,0.50,0.1722,16890,1467,80,clean,successful
694,11/12/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,MBIYAMITI,3,9,14.00,1444,26.1,47.0,2.0,0.26,0.1444,16890,643,40,moderately dirty,moderately
886,11/12/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,NAPI,3,11,14.00,1444,22.2,56.0,3.9,0.36,0.1444,16890,881,40,moderate,successful
822,11/15/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,NAPI,2,5,16.00,1613,22.8,53.0,1.5,0.05,0.1613,16890,136,40,dirty,unsuccessful
903,11/15/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,SKUKUZA,2,1,21.00,1557,25.6,46.0,2.1,0.30,0.1557,16890,789,70,moderate,successful
1022,11/15/82,1982,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,SKUKUZA,3,9,11.00,2135,28.3,37.0,1.7,0.74,0.2135,16890,2671,80,clean,highly
2160,11/16/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,MARHEYA,2,5,11.00,4163,26.7,43.0,2.1,0.81,0.4163,16890,5699,100,clean,highly
2163,11/16/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,MARHEYA,3,11,11.00,4374,26.7,43.0,2.5,0.74,0.4374,16890,5484,100,clean,highly
2336,11/16/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,SATARA,2,4,11.00,3170,29.4,32.0,3.1,0.83,0.3170,16890,4459,100,clean,highly
2348,11/16/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,SATARA,3,10,8.00,3531,30.0,28.0,3.3,0.90,0.3531,16890,5396,100,clean,highly
1802,11/17/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,NWANETSI,2,3,10.00,3293,26.1,44.0,2.3,0.44,0.3293,16890,2453,100,clean,highly
1814,11/17/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,NWANETSI,3,9,13.00,4020,25.0,47.0,1.2,0.59,0.4020,16890,4006,100,clean,highly
1975,11/17/82,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,LINDANDA,2,1,13.00,2698,30.0,32.0,2.5,0.45,0.2698,16890,2059,70,moderate,successful
1747,1/20/83,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,NWANETSI,2,2,33.57,2874,37.0,40.0,4.0,0.42,0.2874,16890,2039,100,clean,highly
1757,1/20/83,1982,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Dec,NWANETSI,3,10,28.13,3873,31.0,54.0,4.0,0.42,0.3873,16890,2747,100,clean,highly
