"","MFRI","MAP_mm","FF"
"33",22.333,420.38649868713,0.0447767877132495
"34",33.5,420.869719374438,0.0298507462686567
"170",67,419.371590007263,0.0149253731343284
"171",67,419.429793110519,0.0149253731343284
"172",22.333,420.873549989457,0.0447767877132495
"173",22.333,421.998836173356,0.0447767877132495
"174",22.333,422.169502562668,0.0447767877132495
"175",22.333,421.927678538127,0.0447767877132495
"176",22.333,420.788990647962,0.0447767877132495
"177",22.333,420,0.0447767877132495
"309",67,421.061047098521,0.0149253731343284
"310",33.5,420.447602961865,0.0298507462686567
"311",33.5,419.60457258161,0.0298507462686567
"312",67,426.465399655199,0.0149253731343284
"313",22.333,429.875955854767,0.0447767877132495
"314",22.333,426.8740520975,0.0447767877132495
"315",22.333,424.027929531257,0.0447767877132495
"316",22.333,421.281458167043,0.0447767877132495
"317",22.333,419.885497079663,0.0447767877132495
"318",16.75,419.874392622087,0.0597014925373134
"319",33.5,419.416930332336,0.0298507462686567
"448",33.5,432.539775963757,0.0298507462686567
"449",67,421.154090213275,0.0149253731343284
"450",33.5,423.752710057711,0.0298507462686567
"451",22.333,422.877257093482,0.0447767877132495
"452",33.5,424.515178475282,0.0298507462686567
"453",33.5,430.413509505287,0.0298507462686567
"454",16.75,430.811649826236,0.0597014925373134
"455",16.75,429.334500847927,0.0597014925373134
"456",16.75,425.991020282873,0.0597014925373134
"457",22.333,421.156053038983,0.0447767877132495
"458",22.333,419.155590997598,0.0447767877132495
"459",16.75,418.874272276739,0.0597014925373134
"460",16.75,418.794250566639,0.0597014925373134
"589",33.5,442.530607259035,0.0298507462686567
"590",13.4,433.54302941015,0.0746268656716418
"591",33.5,433.909814875364,0.0298507462686567
"592",33.5,432.168455546989,0.0298507462686567
"593",33.5,434.849966579131,0.0298507462686567
"594",16.75,435.312373282401,0.0597014925373134
"595",16.75,432.824249822868,0.0597014925373134
"596",16.75,433.724504839585,0.0597014925373134
"597",16.75,430.173092118042,0.0597014925373134
"598",16.75,424.908712999541,0.0597014925373134
"599",13.4,421.820731003658,0.0746268656716418
"600",13.4,419.061665902256,0.0746268656716418
"601",22.333,417.439097229695,0.0447767877132495
"602",22.333,416.520855503133,0.0447767877132495
"608",33.5,415.780136579539,0.0298507462686567
"609",67,413.210896978537,0.0149253731343284
"729",9.571,435.350149994344,0.104482290251802
"730",9.571,436.614840992681,0.104482290251802
"731",13.4,437.060281477118,0.0746268656716418
"732",22.333,437.043063612669,0.0447767877132495
"733",22.333,437.021135242183,0.0447767877132495
"734",16.75,438.055385301372,0.0597014925373134
"735",11.167,438.923453702415,0.0895495656846064
"736",13.4,438.604543745203,0.0746268656716418
"737",13.4,441.373905660675,0.0746268656716418
"738",13.4,441.257820063297,0.0746268656716418
"739",13.4,434.773678075138,0.0746268656716418
"740",11.167,433.720434818449,0.0895495656846064
"741",11.167,428.612204972042,0.0895495656846064
"742",13.4,418.721607642409,0.0746268656716418
"743",16.75,416.385666193241,0.0597014925373134
"744",16.75,415.913214357179,0.0597014925373134
"745",33.5,415.849706841166,0.0298507462686567
"746",33.5,415.363773123492,0.0298507462686567
"747",33.5,414.06605613803,0.0298507462686567
"748",33.5,414.429211534556,0.0298507462686567
"749",33.5,415.60456091534,0.0298507462686567
"750",67,412.926525917074,0.0149253731343284
"751",67,410.964528650278,0.0149253731343284
"870",9.571,436.629421485598,0.104482290251802
"871",9.571,442.27231434352,0.104482290251802
"872",13.4,446.285840696882,0.0746268656716418
"873",16.75,447.150894911611,0.0597014925373134
"874",22.333,442.692621531178,0.0447767877132495
"875",16.75,444.821742090473,0.0597014925373134
"876",11.167,446.963125954951,0.0895495656846064
"877",13.4,446.962141485215,0.0746268656716418
"878",13.4,449.371863001411,0.0746268656716418
"879",13.4,450.040077706209,0.0746268656716418
"880",13.4,447.200353985754,0.0746268656716418
"881",11.167,443.823490868027,0.0895495656846064
"882",11.167,442.346555923298,0.0895495656846064
"883",11.167,431.211533549928,0.0895495656846064
"884",13.4,418.834091778954,0.0746268656716418
"885",11.167,418.062386737896,0.0895495656846064
"886",22.333,416.670675461314,0.0447767877132495
"887",33.5,415.322196396221,0.0298507462686567
"888",33.5,416.36433611382,0.0298507462686567
"889",33.5,416.693841528763,0.0298507462686567
"890",33.5,415.068465098282,0.0298507462686567
"891",67,412.032218716575,0.0149253731343284
"892",67,410,0.0149253731343284
"893",67,410,0.0149253731343284
"1011",11.167,441.764537235352,0.0895495656846064
"1012",13.4,446.971891580598,0.0746268656716418
"1013",16.75,453.401573248022,0.0597014925373134
"1014",16.75,453.568004876906,0.0597014925373134
"1015",22.333,450.691819342255,0.0447767877132495
"1016",22.333,449.257611118217,0.0447767877132495
"1017",13.4,449.798059318381,0.0746268656716418
"1018",13.4,451.228425177936,0.0746268656716418
"1019",13.4,452.192080485817,0.0746268656716418
"1020",33.5,449.664738695482,0.0298507462686567
"1021",22.333,448.594695704238,0.0447767877132495
"1022",11.167,449.528458690053,0.0895495656846064
"1023",13.4,443.485405864907,0.0746268656716418
"1024",13.4,438.092766329438,0.0746268656716418
"1025",11.167,436.361968510022,0.0895495656846064
"1026",13.4,430.588905314091,0.0746268656716418
"1027",33.5,423.895217426572,0.0298507462686567
"1028",33.5,420.521422847281,0.0298507462686567
"1029",33.5,420.248919842851,0.0298507462686567
"1030",33.5,418.15382231035,0.0298507462686567
"1031",33.5,414.287155715744,0.0298507462686567
"1032",67,411.851047107179,0.0149253731343284
"1033",67,409.918956728195,0.0149253731343284
"1034",67,408.836264494491,0.0149253731343284
"1151",13.4,454.843966743993,0.0746268656716418
"1152",11.167,460.768727884274,0.0895495656846064
"1153",13.4,458.341589888497,0.0746268656716418
"1154",16.75,458.462753649055,0.0597014925373134
"1155",16.75,464.825296276907,0.0597014925373134
"1156",22.333,460.741282590736,0.0447767877132495
"1157",33.5,454.244111498026,0.0298507462686567
"1158",33.5,453.527184429138,0.0298507462686567
"1159",33.5,446.539135763305,0.0298507462686567
"1160",33.5,442.54652625293,0.0298507462686567
"1161",33.5,440.821916903343,0.0298507462686567
"1162",33.5,443.564422054106,0.0298507462686567
"1163",22.333,444.320289369843,0.0447767877132495
"1164",22.333,433.253330632081,0.0447767877132495
"1165",13.4,429.087894755627,0.0746268656716418
"1166",13.4,427.550972031116,0.0746268656716418
"1167",13.4,422.819042266756,0.0746268656716418
"1168",33.5,421.043362908935,0.0298507462686567
"1169",33.5,423.149555959108,0.0298507462686567
"1170",33.5,417.276007040945,0.0298507462686567
"1171",33.5,411.750469436687,0.0298507462686567
"1172",67,407.777143369974,0.0149253731343284
"1173",67,408.602358422822,0.0149253731343284
"1174",67,409.510115575261,0.0149253731343284
"1175",67,408.691164885114,0.0149253731343284
"1176",67,407,0.0149253731343284
"1292",13.4,458,0.0746268656716418
"1293",13.4,456.881580546299,0.0746268656716418
"1294",13.4,458.838846581737,0.0746268656716418
"1295",16.75,461.521368536831,0.0597014925373134
"1296",16.75,461.669865460447,0.0597014925373134
"1297",22.333,457.499009126635,0.0447767877132495
"1298",33.5,450.711781298578,0.0298507462686567
"1299",33.5,446.148879414892,0.0298507462686567
"1300",33.5,442.265829610995,0.0298507462686567
"1301",33.5,437.408241946496,0.0298507462686567
"1302",33.5,432.610680593561,0.0298507462686567
"1303",33.5,429.601016534206,0.0298507462686567
"1304",33.5,431.021714018543,0.0298507462686567
"1305",33.5,430.752983658015,0.0298507462686567
"1306",33.5,425.657345508763,0.0298507462686567
"1307",22.333,423.377063181257,0.0447767877132495
"1308",33.5,419.910714062456,0.0298507462686567
"1309",33.5,415.19484169391,0.0298507462686567
"1310",33.5,411.358492305304,0.0298507462686567
"1311",33.5,407.12154420303,0.0298507462686567
"1312",33.5,406.716420665044,0.0298507462686567
"1313",33.5,405.796172860411,0.0298507462686567
"1314",22.333,405.773065517707,0.0447767877132495
"1315",67,408.030376697132,0.0149253731343284
"1316",67,408.670630929694,0.0149253731343284
"1317",67,406.819917762574,0.0149253731343284
"1433",16.75,455.170696694637,0.0597014925373134
"1434",16.75,453.040494432508,0.0597014925373134
"1435",22.333,454.661961074257,0.0447767877132495
"1436",22.333,458.678797305531,0.0447767877132495
"1437",22.333,469.790679534049,0.0447767877132495
"1438",22.333,477.612461394458,0.0447767877132495
"1439",33.5,468.184583228716,0.0298507462686567
"1440",33.5,450.687998778184,0.0298507462686567
"1441",33.5,440.064832155175,0.0298507462686567
"1442",33.5,435.13859381201,0.0298507462686567
"1443",33.5,427.646134659367,0.0298507462686567
"1444",33.5,421.061975986598,0.0298507462686567
"1445",33.5,433.006406530706,0.0298507462686567
"1446",33.5,438.652169079432,0.0298507462686567
"1447",33.5,421.21951778067,0.0298507462686567
"1448",67,417.851993579895,0.0149253731343284
"1449",67,415.74488033721,0.0149253731343284
"1450",67,410.137164108182,0.0149253731343284
"1451",67,408.832976792232,0.0149253731343284
"1452",67,408.153799942808,0.0149253731343284
"1453",67,407.336526861517,0.0149253731343284
"1454",67,406.550901721972,0.0149253731343284
"1455",33.5,405.152744481998,0.0298507462686567
"1456",33.5,405,0.0298507462686567
"1457",67,405.296342417452,0.0149253731343284
"1458",33.5,406.211684878782,0.0298507462686567
"1459",67,406.332957790661,0.0149253731343284
"1460",67,405.46605594816,0.0149253731343284
"1573",16.75,454.156172369074,0.0597014925373134
"1574",16.75,453.048222880702,0.0597014925373134
"1575",16.75,452.45259345917,0.0597014925373134
"1576",22.333,451.998238126773,0.0447767877132495
"1577",22.333,455.707555840302,0.0447767877132495
"1578",16.75,460.01039263561,0.0597014925373134
"1579",16.75,467.038209759066,0.0597014925373134
"1580",33.5,475.212866515082,0.0298507462686567
"1581",67,477.022078313547,0.0149253731343284
"1582",67,456.620190173212,0.0149253731343284
"1583",67,433.664907587379,0.0149253731343284
"1584",67,427.884175707792,0.0149253731343284
"1585",67,418.303079514284,0.0149253731343284
"1586",67,417.126069737303,0.0149253731343284
"1587",67,418.232817031301,0.0149253731343284
"1588",67,412,0.0149253731343284
"1589",67,412.331107820593,0.0149253731343284
"1590",67,411.949469116274,0.0149253731343284
"1591",67,410.021734301036,0.0149253731343284
"1592",67,409.632363319068,0.0149253731343284
"1593",67,409.803942635784,0.0149253731343284
"1594",67,408.598868146029,0.0149253731343284
"1595",67,407.799388298917,0.0149253731343284
"1596",67,405.761768651925,0.0149253731343284
"1597",67,405.23533953489,0.0149253731343284
"1598",67,405.250552904404,0.0149253731343284
